GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java,backend.academy,Main,24,0,0,0,11,0,1,0,1,0
java,backend.academy.datefilter,DateFilter,2,82,1,9,1,18,1,9,0,5
java,backend.academy.reportformats,AdocFormater,69,0,0,0,21,0,5,0,5,0
java,backend.academy.reportformats,FormatingLogic,489,0,12,0,54,0,9,0,3,0
java,backend.academy.reportformats,MarkdownFormater,57,0,0,0,18,0,5,0,5,0
java,backend.academy.readers,LogFileReader,122,0,12,0,27,0,13,0,7,0
java,backend.academy.readers,AbstractLogReader,6,0,0,0,2,0,2,0,2,0
java,backend.academy.readers,LogUrlReader,116,0,8,0,28,0,8,0,4,0
java,backend.academy.readers,LogReader,49,0,6,0,11,0,6,0,3,0
java,backend.academy.writers,AbstractWriter,39,0,0,0,10,0,3,0,3,0
java,backend.academy.writers,MarkdownReportWriter,13,0,0,0,4,0,2,0,2,0
java,backend.academy.writers,AdocReportWriter,13,0,0,0,4,0,2,0,2,0
java,backend.academy.writers,ReportWriter,47,0,2,0,13,0,4,0,3,0
java,backend.academy.app,AppLogic,135,0,12,0,27,0,13,0,7,0
java,backend.academy.app,App,46,0,4,0,15,0,5,0,2,0
java,backend.academy.app,AppSettings,53,0,6,0,13,0,9,0,6,0
java,backend.academy.statistic,Metrics,0,30,0,0,0,1,0,1,0,1
java,backend.academy.analyzer,AnalyzerLogic,183,361,17,17,26,76,23,25,9,18
java,backend.academy.analyzer,Analyzer,0,29,0,0,0,6,0,5,0,5
java,backend.academy.analyzer,ProcessingMode,27,0,0,0,5,0,1,0,1,0
java,backend.academy.nginx,NginxLogParser,0,58,0,2,0,12,0,2,0,1
java,backend.academy.nginx,NginxLog,0,30,0,0,0,1,0,1,0,1
